id	display_name	category	value_type	domain	uuid	is_required	metadata	triage_category	suggested_fqn
attr.address.billing_period_end	Billing Period End	address	date	address_proof	a89e5460-8b3a-4d92-8d43-76f5854c31aa	f	{}	A_legitimate	address.billing-period-end
attr.address.billing_period_start	Billing Period Start	address	date	address_proof	4983d427-95ce-462a-9f13-6ad62a288dfd	f	{}	A_legitimate	address.billing-period-start
attr.address.city	City / Town	address	string		a0030000-0000-0000-0000-000000000004	f	{}	A_legitimate	address.city
attr.address.council_tax_band	Council Tax Band	address	string	uk_council_tax	459a9991-02ae-4769-be27-7dac665b5e4e	f	{}	A_legitimate	address.council-tax-band
attr.address.council_tax_reference	Council Tax Reference	address	string	uk_council_tax	c632687c-646a-42ee-b715-0861cf16056d	f	{}	A_legitimate	address.council-tax-reference
attr.address.country	Country	address	string		a0030000-0000-0000-0000-000000000007	f	{}	A_legitimate	address.country
attr.address.landlord_name	Landlord Name	address	string	tenancy	93648d5f-59ba-4651-96b2-33661e05cb14	f	{}	A_legitimate	address.landlord-name
attr.address.mailing_address	Mailing / Correspondence Address	address	string		a0030000-0000-0000-0000-000000000010	f	{}	A_legitimate	address.mailing-address
attr.address.monthly_rent	Monthly Rent	address	currency	tenancy	3c7c37e5-6b54-45c4-85e3-fcb2f15b76e8	f	{}	A_legitimate	address.monthly-rent
attr.address.postal_code	Postal / ZIP Code	address	string		a0030000-0000-0000-0000-000000000006	f	{}	A_legitimate	address.postal-code
attr.address.previous_address	Previous Address	address	string		a0030000-0000-0000-0000-000000000011	f	{}	A_legitimate	address.previous-address
attr.address.registered_office	Registered Office Address	address	string		a0030000-0000-0000-0000-000000000008	f	{}	A_legitimate	address.registered-office
attr.address.residential_full	Full Residential Address	address	string		a0030000-0000-0000-0000-000000000001	f	{}	A_legitimate	address.residential-full
attr.address.service_address	Service Address	address	address	address_proof	a08705bc-6832-405e-8b57-a6ea1789e86d	f	{}	A_legitimate	address.service-address
attr.address.state_province	State / Province / Region	address	string		a0030000-0000-0000-0000-000000000005	f	{}	A_legitimate	address.state-province
attr.address.statement_date	Statement Date	address	date	address_proof	43f6138b-bfc8-494a-8e36-100c733e9580	f	{}	A_legitimate	address.statement-date
attr.address.street_line_1	Street Address Line 1	address	string		a0030000-0000-0000-0000-000000000002	f	{}	A_legitimate	address.street-line-1
attr.address.street_line_2	Street Address Line 2	address	string		a0030000-0000-0000-0000-000000000003	f	{}	A_legitimate	address.street-line-2
attr.address.tenancy_end_date	Tenancy End Date	address	date	tenancy	647789d9-4ab6-462b-9b2a-8dc48d57b51f	f	{}	A_legitimate	address.tenancy-end-date
attr.address.tenancy_start_date	Tenancy Start Date	address	date	tenancy	abe4bb2c-d38e-40c9-9a87-7f518f11433b	f	{}	A_legitimate	address.tenancy-start-date
attr.address.time_at_address	Time at Current Address	address	string		a0030000-0000-0000-0000-000000000012	f	{}	A_legitimate	address.time-at-address
attr.address.trading_address	Trading / Principal Place of Business	address	string		a0030000-0000-0000-0000-000000000009	f	{}	A_legitimate	address.trading-address
attr.address.utility_account_number	Utility Account Number	address	string	address_proof	8e105846-d017-4cf6-8222-1e6ac283935e	f	{}	A_legitimate	address.utility-account-number
attr.contact.address_line1	Address Line 1	address	string		7c7cdc82-b261-57c7-aee2-36e17dcd1d5d	f	"{""domain"": ""kyc"", ""rust_type"": ""AddressLine1""}"	A_legitimate	contact.address-line1
attr.contact.address_line2	Address Line 2	address	string		e90b9045-d0c6-52db-989a-96ad37152e3a	f	"{""domain"": ""kyc"", ""rust_type"": ""AddressLine2""}"	A_legitimate	contact.address-line2
attr.contact.city	City	address	string		2eca2245-5d14-57b2-9a53-6f90d2b7a9d6	f	"{""domain"": ""kyc"", ""rust_type"": ""City""}"	A_legitimate	contact.city
attr.contact.country	Country	address	string		24e2072e-db54-547b-9e5d-0762a26261a6	f	"{""domain"": ""kyc"", ""format"": ""ISO-3166-1 alpha-2"", ""rust_type"": ""Country""}"	A_legitimate	contact.country
attr.contact.postal_code	Postal Code	address	string		36df5ec0-f1b8-50a0-ac50-b510f0cda2fb	f	"{""domain"": ""kyc"", ""rust_type"": ""PostalCode""}"	A_legitimate	contact.postal-code
attr.compliance.aml_status	AML Status	compliance	string		2cd8f6fa-0c16-5271-870f-8b304bbbd8ee	f	"{""domain"": ""kyc"", ""rust_type"": ""AmlStatus""}"	A_legitimate	compliance.aml-status
attr.compliance.crs_status	CRS Status	compliance	string		afeab5f1-f1c0-5831-85c4-390ec7c97d1d	f	"{""domain"": ""kyc"", ""rust_type"": ""CrsStatus""}"	A_legitimate	compliance.crs-status
attr.compliance.fatca_status	FATCA Status	compliance	string		53e4858b-76d7-563d-b6d1-38d34a09aaec	f	"{""domain"": ""kyc"", ""rust_type"": ""FatcaStatus""}"	A_legitimate	compliance.fatca-status
attr.compliance.sanctions_check	Sanctions Screening Result	compliance	string		80d45eb5-98d2-57a8-a693-4fbb1e3c0ea1	f	"{""domain"": ""kyc"", ""rust_type"": ""SanctionsCheck""}"	A_legitimate	compliance.sanctions-check
attr.kyc.corporate.business_activity	Primary Business Activity	compliance	string		4f8855ff-3805-5749-98f9-874838129569	f	"{""domain"": ""kyc"", ""rust_type"": ""BusinessActivity"", ""subcategory"": ""corporate""}"	A_legitimate	kyc.corporate.business-activity
attr.kyc.corporate.regulatory_status	Regulatory Status	compliance	string		8fbf1610-4ca3-5e59-bc48-f2af12c8ea93	f	"{""domain"": ""kyc"", ""rust_type"": ""RegulatoryStatus"", ""subcategory"": ""corporate""}"	A_legitimate	kyc.corporate.regulatory-status
