registry_id	display_name	category	value_type	domain	uuid	metadata	candidate_fqns	action_needed
attr.employment.employer_address	Employer Address	employment	string		a0100000-0000-0000-0000-000000000005	{}		NEEDS_DOMAIN: assign domain before reconciliation
attr.employment.employer_name	Employer Name	employment	string		a0100000-0000-0000-0000-000000000001	{}		NEEDS_DOMAIN: assign domain before reconciliation
attr.employment.employment_status	Employment Status	employment	string		a0100000-0000-0000-0000-000000000003	{}		NEEDS_DOMAIN: assign domain before reconciliation
attr.employment.industry	Industry / Sector	employment	string		a0100000-0000-0000-0000-000000000004	{}		NEEDS_DOMAIN: assign domain before reconciliation
attr.employment.job_title	Job Title / Position	employment	string		a0100000-0000-0000-0000-000000000002	{}		NEEDS_DOMAIN: assign domain before reconciliation
attr.employment.years_employed	Years at Current Employer	employment	integer		a0100000-0000-0000-0000-000000000006	{}		NEEDS_DOMAIN: assign domain before reconciliation
attr.kyc.corporate.employees_count	Number of Employees	employment	integer		5f372619-15e7-5f63-8774-b34e0aebb3fa	"{""domain"": ""kyc"", ""rust_type"": ""EmployeeCount""}"		NEEDS_DOMAIN: assign domain before reconciliation
attr.kyc.proper_person.occupation	Occupation	employment	string		9ecd482b-2298-5db1-89f0-2dd87462357c	"{""domain"": ""kyc"", ""rust_type"": ""Occupation""}"		NEEDS_DOMAIN: assign domain before reconciliation
attr.fund.management_fee	Management Fee (%)	product	percentage		1e156056-7e7b-5474-8317-e1d43743c0a9	"{""domain"": ""kyc"", ""rust_type"": ""ManagementFee""}"		NEEDS_DOMAIN: assign domain before reconciliation
attr.fund.strategy	Investment Strategy	product	string		6937eb85-68bf-57e2-b4e0-1e1de38a9f1f	"{""domain"": ""kyc"", ""rust_type"": ""FundStrategy""}"		NEEDS_DOMAIN: assign domain before reconciliation
attr.hedge_fund.hurdle_rate	Hurdle Rate (%)	product	percentage		bdfddda0-2f6a-52b8-8f03-95c744d30ea3	"{""domain"": ""kyc"", ""rust_type"": ""HurdleRate""}"		NEEDS_DOMAIN: assign domain before reconciliation
attr.hedge_fund.lock_up_period	Lock-up Period (months)	product	integer		8e8a4050-361c-5447-b28e-7816012c52c4	"{""domain"": ""kyc"", ""rust_type"": ""LockUpPeriod""}"		NEEDS_DOMAIN: assign domain before reconciliation
attr.hedge_fund.performance_fee	Performance Fee (%)	product	percentage		0d9faae2-1615-5099-bab2-891a8a9a7d9d	"{""domain"": ""kyc"", ""rust_type"": ""PerformanceFee""}"		NEEDS_DOMAIN: assign domain before reconciliation
attr.investment.redemption_notice_period	Redemption Notice Period (days)	product	integer		14b4cfcf-0e40-5b79-b4ea-81d61534f5b2	"{""domain"": ""kyc"", ""rust_type"": ""RedemptionNoticePeriod""}"		NEEDS_DOMAIN: assign domain before reconciliation
cbu-name	cbu-name	cbu	string	CBU	7e2968c7-9b42-4d32-849e-791145a4b5d8	{}		NEEDS_FQN: bare id needs domain.name convention
client-type	client-type	cbu	string	CBU	a0869127-3f7b-48c3-9ad4-987bbeccaa6b	{}		NEEDS_FQN: bare id needs domain.name convention
