workspace,dag_id,slot_id,state_id,candidate,has_green_when,coverage_status,exclusion_reason,inbound_verbs,source_file
book_setup,book_setup_dag,book,abandoned,false,false,excluded,discretionary_destination,book.abandon,rust/config/sem_os_seeds/dag_taxonomies/book_setup_dag.yaml
book_setup,book_setup_dag,book,cbus_scaffolded,true,false,missing,,cbu.create,rust/config/sem_os_seeds/dag_taxonomies/book_setup_dag.yaml
book_setup,book_setup_dag,book,entities_provisioned,true,false,missing,,macro: structure.* invokes entity.create series,rust/config/sem_os_seeds/dag_taxonomies/book_setup_dag.yaml
book_setup,book_setup_dag,book,mandates_defined,true,false,missing,,mandate.create,rust/config/sem_os_seeds/dag_taxonomies/book_setup_dag.yaml
book_setup,book_setup_dag,book,parties_assigned,true,false,missing,,cbu.assign-role,rust/config/sem_os_seeds/dag_taxonomies/book_setup_dag.yaml
book_setup,book_setup_dag,book,proposed,false,false,excluded,entry_state,,rust/config/sem_os_seeds/dag_taxonomies/book_setup_dag.yaml
book_setup,book_setup_dag,book,ready_for_deal,true,false,missing,,book.mark-ready,rust/config/sem_os_seeds/dag_taxonomies/book_setup_dag.yaml
book_setup,book_setup_dag,book,structure_chosen,true,false,missing,,book.select-structure,rust/config/sem_os_seeds/dag_taxonomies/book_setup_dag.yaml
booking_principal,booking_principal_dag,clearance,ACTIVE,true,false,missing,,booking-principal-clearance.activate|booking-principal-clearance.reinstate,rust/config/sem_os_seeds/dag_taxonomies/booking_principal_dag.yaml
booking_principal,booking_principal_dag,clearance,APPROVED,false,true,excluded,discretionary_destination,booking-principal-clearance.approve,rust/config/sem_os_seeds/dag_taxonomies/booking_principal_dag.yaml
booking_principal,booking_principal_dag,clearance,PENDING,false,false,excluded,entry_state,booking-principal-clearance.reopen,rust/config/sem_os_seeds/dag_taxonomies/booking_principal_dag.yaml
booking_principal,booking_principal_dag,clearance,REJECTED,false,false,excluded,discretionary_destination,booking-principal-clearance.reject,rust/config/sem_os_seeds/dag_taxonomies/booking_principal_dag.yaml
booking_principal,booking_principal_dag,clearance,REVOKED,false,false,excluded,discretionary_destination,booking-principal-clearance.revoke,rust/config/sem_os_seeds/dag_taxonomies/booking_principal_dag.yaml
booking_principal,booking_principal_dag,clearance,SCREENING,true,false,missing,,booking-principal-clearance.start-screening,rust/config/sem_os_seeds/dag_taxonomies/booking_principal_dag.yaml
booking_principal,booking_principal_dag,clearance,SUSPENDED,false,false,excluded,discretionary_destination,booking-principal-clearance.suspend,rust/config/sem_os_seeds/dag_taxonomies/booking_principal_dag.yaml
catalogue,catalogue_dag,proposal,COMMITTED,false,false,excluded,discretionary_destination,catalogue.commit-verb-declaration,rust/config/sem_os_seeds/dag_taxonomies/catalogue_dag.yaml
catalogue,catalogue_dag,proposal,DRAFT,false,false,excluded,entry_state,catalogue.reopen-proposal,rust/config/sem_os_seeds/dag_taxonomies/catalogue_dag.yaml
catalogue,catalogue_dag,proposal,REJECTED,true,false,missing,,catalogue.reject-proposal,rust/config/sem_os_seeds/dag_taxonomies/catalogue_dag.yaml
catalogue,catalogue_dag,proposal,ROLLED_BACK,true,false,missing,,catalogue.rollback-verb-declaration,rust/config/sem_os_seeds/dag_taxonomies/catalogue_dag.yaml
catalogue,catalogue_dag,proposal,STAGED,true,false,missing,,catalogue.stage-proposal,rust/config/sem_os_seeds/dag_taxonomies/catalogue_dag.yaml
cbu,cbu_dag,cbu,DISCOVERED,false,false,excluded,entry_state,,rust/config/sem_os_seeds/dag_taxonomies/cbu_dag.yaml
cbu,cbu_dag,cbu,UPDATE_PENDING_PROOF,true,false,missing,,cbu.request-proof-update,rust/config/sem_os_seeds/dag_taxonomies/cbu_dag.yaml
cbu,cbu_dag,cbu,VALIDATED,false,true,excluded,discretionary_destination,cbu.decide,rust/config/sem_os_seeds/dag_taxonomies/cbu_dag.yaml
cbu,cbu_dag,cbu,VALIDATION_FAILED,false,false,excluded,discretionary_destination,cbu.decide,rust/config/sem_os_seeds/dag_taxonomies/cbu_dag.yaml
cbu,cbu_dag,cbu,VALIDATION_PENDING,true,false,missing,,cbu.reopen-validation|cbu.submit-for-validation,rust/config/sem_os_seeds/dag_taxonomies/cbu_dag.yaml
cbu,cbu_dag,cbu_corporate_action,approved,false,true,excluded,discretionary_destination,cbu-ca.approve,rust/config/sem_os_seeds/dag_taxonomies/cbu_dag.yaml
cbu,cbu_dag,cbu_corporate_action,effective,true,false,missing,,backend: effective_date reached,rust/config/sem_os_seeds/dag_taxonomies/cbu_dag.yaml
cbu,cbu_dag,cbu_corporate_action,implemented,true,false,missing,,cbu-ca.mark-implemented,rust/config/sem_os_seeds/dag_taxonomies/cbu_dag.yaml
cbu,cbu_dag,cbu_corporate_action,proposed,false,false,excluded,entry_state,,rust/config/sem_os_seeds/dag_taxonomies/cbu_dag.yaml
cbu,cbu_dag,cbu_corporate_action,rejected,false,false,excluded,discretionary_destination,cbu-ca.reject,rust/config/sem_os_seeds/dag_taxonomies/cbu_dag.yaml
cbu,cbu_dag,cbu_corporate_action,under_review,false,false,excluded,discretionary_destination,cbu-ca.submit-for-review,rust/config/sem_os_seeds/dag_taxonomies/cbu_dag.yaml
cbu,cbu_dag,cbu_corporate_action,withdrawn,true,false,missing,,cbu-ca.withdraw,rust/config/sem_os_seeds/dag_taxonomies/cbu_dag.yaml
cbu,cbu_dag,cbu_disposition,active,false,false,excluded,entry_state,cbu.clear-remediation|cbu.restore,rust/config/sem_os_seeds/dag_taxonomies/cbu_dag.yaml
cbu,cbu_dag,cbu_disposition,hard_deleted,false,false,excluded,discretionary_destination,cbu.hard-delete,rust/config/sem_os_seeds/dag_taxonomies/cbu_dag.yaml
cbu,cbu_dag,cbu_disposition,soft_deleted,true,false,missing,,cbu.soft-delete,rust/config/sem_os_seeds/dag_taxonomies/cbu_dag.yaml
cbu,cbu_dag,cbu_disposition,under_remediation,true,false,missing,,cbu.flag-for-remediation,rust/config/sem_os_seeds/dag_taxonomies/cbu_dag.yaml
cbu,cbu_dag,cbu_evidence,APPROVED,true,true,covered,,cbu.approve-evidence,rust/config/sem_os_seeds/dag_taxonomies/cbu_dag.yaml
cbu,cbu_dag,cbu_evidence,EXPIRED,true,true,covered,,backend: time-decay trigger based on evidence_type validity window,rust/config/sem_os_seeds/dag_taxonomies/cbu_dag.yaml
cbu,cbu_dag,cbu_evidence,REJECTED,true,false,missing,,cbu.reject-evidence,rust/config/sem_os_seeds/dag_taxonomies/cbu_dag.yaml
