path,verb_fqn,flavour,role_guard_any_of,audit_class,crud_operation,metadata_side_effects,three_axis_baseline
rust/config/verbs/access-review.yaml,access-review.create-campaign,discretionary,"compliance_officer,senior_compliance,mlro",access_review_create_campaign,insert,state_write,reviewable
rust/config/verbs/access-review.yaml,access-review.populate-campaign,discretionary,"compliance_officer,senior_compliance,mlro",access_review_populate_campaign,,state_write,reviewable
rust/config/verbs/access-review.yaml,access-review.launch-campaign,discretionary,"compliance_officer,senior_compliance,mlro",access_review_launch_campaign,,state_write,requires_confirmation
rust/config/verbs/access-review.yaml,access-review.confirm-access,discretionary,"compliance_officer,senior_compliance,mlro",access_review_confirm_access,update,state_write,reviewable
rust/config/verbs/access-review.yaml,access-review.revoke-access,discretionary,"compliance_officer,senior_compliance,mlro",access_review_revoke_access,,state_write,requires_confirmation
rust/config/verbs/access-review.yaml,access-review.extend-access,discretionary,"compliance_officer,senior_compliance,mlro",access_review_extend_access,update,state_write,reviewable
rust/config/verbs/access-review.yaml,access-review.escalate-item,discretionary,"compliance_officer,senior_compliance,mlro",access_review_escalate_item,update,state_write,reviewable
rust/config/verbs/access-review.yaml,access-review.bulk-confirm,discretionary,"compliance_officer,senior_compliance,mlro",access_review_bulk_confirm,,state_write,reviewable
rust/config/verbs/access-review.yaml,access-review.confirm-all-clean,discretionary,"compliance_officer,senior_compliance,mlro",access_review_confirm_all_clean,,state_write,reviewable
rust/config/verbs/access-review.yaml,access-review.attest,discretionary,"compliance_officer,senior_compliance,mlro",access_review_attest,,state_write,requires_explicit_authorisation
rust/config/verbs/access-review.yaml,access-review.process-deadline,discretionary,"compliance_officer,senior_compliance,mlro",access_review_process_deadline,,state_write,reviewable
rust/config/verbs/access-review.yaml,access-review.send-reminders,discretionary,"compliance_officer,senior_compliance,mlro",access_review_send_reminders,,emitting,reviewable
rust/config/verbs/access-review.yaml,access-review.my-pending,attribute_mutating,,,select,none,benign
rust/config/verbs/access-review.yaml,access-review.campaign-status,attribute_mutating,,,select,none,benign
rust/config/verbs/access-review.yaml,access-review.list-items,attribute_mutating,,,list_by_fk,none,benign
rust/config/verbs/access-review.yaml,access-review.audit-report,attribute_mutating,,,list_by_fk,none,benign
rust/config/verbs/access-review.yaml,access-review.list-flagged,attribute_mutating,,,select,none,benign
rust/config/verbs/admin/regulators.yaml,admin.regulators.list,attribute_mutating,,,select,facts_only,benign
rust/config/verbs/admin/regulators.yaml,admin.regulators.read,attribute_mutating,,,select,facts_only,benign
rust/config/verbs/admin/regulators.yaml,admin.regulators.create,instance_adding,,,upsert,state_write,reviewable
rust/config/verbs/admin/regulators.yaml,admin.regulators.update,attribute_mutating,,,update,state_write,reviewable
rust/config/verbs/admin/regulators.yaml,admin.regulators.deactivate,attribute_mutating,,,update,state_write,reviewable
rust/config/verbs/admin/regulators.yaml,admin.regulatory-tiers.list,attribute_mutating,,,select,facts_only,benign
rust/config/verbs/admin/regulators.yaml,admin.regulatory-tiers.read,attribute_mutating,,,select,facts_only,benign
rust/config/verbs/admin/role-types.yaml,admin.role-types.list,attribute_mutating,,,select,facts_only,benign
rust/config/verbs/admin/role-types.yaml,admin.role-types.read,attribute_mutating,,,select,facts_only,benign
rust/config/verbs/admin/role-types.yaml,admin.role-types.create,instance_adding,,,upsert,state_write,reviewable
rust/config/verbs/admin/role-types.yaml,admin.role-types.update,attribute_mutating,,,update,state_write,reviewable
rust/config/verbs/admin/role-types.yaml,admin.role-types.deactivate,attribute_mutating,,,update,state_write,reviewable
rust/config/verbs/agent.yaml,agent.start,instance_adding,,,,state_write,reviewable
rust/config/verbs/agent.yaml,agent.pause,attribute_mutating,,,,state_write,reviewable
rust/config/verbs/agent.yaml,agent.resume,attribute_mutating,,,,state_write,reviewable
rust/config/verbs/agent.yaml,agent.stop,attribute_mutating,,,,state_write,reviewable
rust/config/verbs/agent.yaml,agent.confirm-decision,discretionary,"compliance_admin,senior_compliance,mlro",agent_confirm_decision,,state_write,reviewable
rust/config/verbs/agent.yaml,agent.reject-decision,discretionary,"compliance_officer,senior_compliance,mlro",agent_reject_decision,,state_write,reviewable
rust/config/verbs/agent.yaml,agent.select-decision-option,discretionary,"compliance_admin,senior_compliance,mlro",agent_select_decision_option,,state_write,benign
rust/config/verbs/agent.yaml,agent.read-status,attribute_mutating,,,,facts_only,benign
rust/config/verbs/agent.yaml,agent.read-history,attribute_mutating,,,,facts_only,benign
rust/config/verbs/agent.yaml,agent.set-selection-threshold,attribute_mutating,,,,state_write,reviewable
rust/config/verbs/agent.yaml,agent.set-execution-mode,attribute_mutating,,,,state_write,reviewable
rust/config/verbs/agent.yaml,agent.set-authoring-mode,attribute_mutating,,,,state_write,reviewable
rust/config/verbs/agent.yaml,agent.teach,attribute_mutating,,,,state_write,reviewable
rust/config/verbs/agent.yaml,agent.unteach,attribute_mutating,,,,state_write,reviewable
rust/config/verbs/agent.yaml,agent.read-teaching-status,attribute_mutating,,,,facts_only,benign
rust/config/verbs/agent.yaml,agent.read-mode,attribute_mutating,,,,facts_only,benign
rust/config/verbs/agent.yaml,agent.read-policy,attribute_mutating,,,,facts_only,benign
rust/config/verbs/agent.yaml,agent.list-tools,attribute_mutating,,,,facts_only,benign
rust/config/verbs/agent.yaml,agent.read-telemetry-summary,attribute_mutating,,,,facts_only,benign
rust/config/verbs/agent.yaml,agent.activate-teaching,attribute_mutating,,,,state_write,reviewable
rust/config/verbs/application-instance.yaml,application-instance.provision,instance_adding,,,insert,state_write,reviewable
rust/config/verbs/application-instance.yaml,application-instance.activate,attribute_mutating,,,update,state_write,reviewable
rust/config/verbs/application-instance.yaml,application-instance.enter-maintenance,attribute_mutating,,,update,state_write,requires_confirmation
rust/config/verbs/application-instance.yaml,application-instance.exit-maintenance,attribute_mutating,,,update,state_write,reviewable
rust/config/verbs/application-instance.yaml,application-instance.take-offline,attribute_mutating,,,update,state_write,requires_confirmation
rust/config/verbs/application-instance.yaml,application-instance.bring-online,attribute_mutating,,,update,state_write,reviewable
rust/config/verbs/application-instance.yaml,application-instance.decommission,discretionary,"compliance_officer,senior_compliance,mlro",application_instance_decommission,update,state_write,requires_explicit_authorisation
rust/config/verbs/application.yaml,application.register,instance_adding,,,insert,state_write,reviewable
rust/config/verbs/application.yaml,application.update,attribute_mutating,,,update,state_write,reviewable
rust/config/verbs/application.yaml,application.decommission,discretionary,"compliance_officer,senior_compliance,mlro",application_decommission,delete,state_write,requires_explicit_authorisation
rust/config/verbs/attribute.yaml,attribute.define,attribute_mutating,,,,state_write,reviewable
rust/config/verbs/attribute.yaml,attribute.define-derived,attribute_mutating,,,,state_write,reviewable
rust/config/verbs/attribute.yaml,attribute.define-internal,attribute_mutating,,,,state_write,reviewable
rust/config/verbs/attribute.yaml,attribute.update-internal,attribute_mutating,,,,state_write,reviewable
rust/config/verbs/attribute.yaml,attribute.classify,attribute_mutating,,,update,state_write,reviewable
rust/config/verbs/attribute.yaml,attribute.set-evidence-grade,attribute_mutating,,,,state_write,reviewable
rust/config/verbs/attribute.yaml,attribute.deprecate,attribute_mutating,,,,state_write,requires_confirmation
rust/config/verbs/attribute.yaml,attribute.inspect,attribute_mutating,,,,facts_only,benign
rust/config/verbs/attribute.yaml,attribute.update,attribute_mutating,,,update,state_write,reviewable
rust/config/verbs/attribute.yaml,attribute.read,attribute_mutating,,,select,facts_only,benign
