expected_verb,predicted_top_verb,count
agent.confirm,agent.confirm,1
agent.list-tools,<none>,1
agent.reject,view.back-to,1
agent.set-authoring-mode,agent.set-mode,1
agent.teach,cbu.create,1
billing.create-schedule,<none>,1
bods.find-by-lei,bods.find-by-lei,1
booking-location.create,booking-location.create,1
booking-principal.create,booking-principal.create,1
booking-principal.list,document.for-entity,1
cbu.add-product,client-group.add-relationship,1
cbu.add-product,service-availability.set,1
cbu.add-product,fund.add-investment,1
cbu.assign-role,cbu.assign-role,1
cbu.create,cbu.create,2
cbu.create,gleif.import-to-client-group,1
cbu.create,session.set-structure,1
cbu.create,trading-profile.create-new-version,1
cbu.create,<none>,1
cbu.delete,cbu.delete,1
cbu.delete-cascade,cbu.create,1
cbu.list,cbu.show,1
cbu.list,movement.transfer-in,1
cbu.list,onboarding.auto-complete,1
cbu.parties,cbu.parties,1
cbu.read,cbu.create,1
cbu.role.assign,agent.confirm,1
cbu.role.list,client-group.list-roles,1
cbu.update,cbu.update,1
cbu.update,fund.add-investment,1
client-group.add-relationship,client-group.add-relationship,1
client-group.confirm-entity,client-group.confirm-entity,1
client-group.discover-entities,client-group.discover-entities,1
client-group.list-relationships,client-group.list-relationships,1
client-group.parties,client-group.parties,1
client-group.search,client-group.search,1
client-group.start-discovery,client-group.start-discovery,1
contract.create,kyc-agreement.create,1
control.import-psc-register,control.import-psc-register,2
control.show-board-controller,board.appoint,1
deal.add-participant,deal.add-participant,1
deal.add-rate-card-line,<none>,1
deal.cancel,<none>,1
deal.counter-rate-card,gleif.import-to-client-group,1
deal.create,deal.create,1
deal.create-rate-card,contract.create-rate-card,1
deal.get,deal.update-status,1
deal.list-rate-card-lines,semantic.stages-for-product,1
deal.propose-rate-card,deal.propose-rate-card,1
deal.request-onboarding,deal.list-products,1
deal.timeline,deal.timeline,1
deal.update-status,deal.cancel,1
document.catalog,case-type.deactivate,1
document.extract,document.extract,1
document.for-entity,contract.for-client,1
document.missing-for-entity,entity.delete,1
document.reject,<none>,1
document.solicit,request.cancel,1
document.solicit-set,document.for-entity,1
document.upload-version,contract.for-client,1
document.verify,document.verify,1
document.verify,allegation.verify,1
entity.create-limited-company,legal-entity.create,1
entity.create-limited-company,control.add,1
entity.create-partnership-limited,partnership.add-partner,1
entity.create-proper-person,rule-field.register,1
entity.create-trust-discretionary,<none>,1
entity.list,cbu.show,1
entity.list-placeholders,semantic.missing-entities,1
entity.resolve-placeholder,entity.resolve-placeholder,1
entity.update,entity.update,1
fund.add-investment,fund.add-investment,1
fund.create-master,fund.create-feeder,1
fund.create-share-class,<none>,1
fund.create-standalone,<none>,1
fund.create-subfund,attributes.set,1
fund.create-umbrella,<none>,1
fund.link-feeder,fund.link-feeder,1
fund.list-investors,fund.add-investment,1
fund.list-share-classes,fund.list-share-classes,1
fund.list-subfunds,fund.create-umbrella,1
gleif.enrich,gleif.enrich,1
gleif.get-parent,gleif.get-parent,1
gleif.import-managed-funds,gleif.import-managed-funds,1
gleif.import-to-client-group,client-group.parties,1
gleif.import-tree,gleif.import-tree,1
gleif.import-tree,bods.import,1
gleif.search,contract.for-client,1
ownership.analyze-gaps,ownership.analyze-gaps,1
ownership.compute,ownership.compute,1
ownership.reconcile,ownership.reconcile,1
ownership.reconcile,ownership.compute,1
ownership.trace-chain,control.trace-chain,1
ownership.who-controls,ownership.who-controls,1
screening.adverse-media,entity.create-limited-company,1
screening.adverse-media,entity.delete,1
screening.pep,screening.pep,1
screening.pep,regulatory.status.check,1
screening.sanctions,<none>,3
screening.sanctions,screening.sanctions,2
screening.sanctions,discovery.run,2
screening.sanctions,regulatory.status.check,1
screening.sanctions,document.for-entity,1
session.filter-jurisdiction,graph.filter,1
session.load-cluster,session.load-cluster,1
session.load-deal,session.load-deal,1
session.load-galaxy,cbu.show,1
session.set-client,gleif.import-to-client-group,1
session.set-persona,view.back-to,1
session.undo,session.undo,1
ubo.add-control,<none>,1
ubo.add-ownership,<none>,1
ubo.add-trust-role,trading-profile.create-new-version,1
ubo.calculate,manco.group.for-cbu,1
ubo.calculate,coverage.compute,1
ubo.list-owners,cbu.show,2
ubo.list-ubos,research.sec-edgar.fetch-beneficial-owners,1
ubo.list-ubos,ownership.who-controls,1
ubo.mark-deceased,board.list-by-person,1
ubo.trace-chains,ownership.trace-chain,1
ubo.trace-chains,<none>,1
ubo.update-ownership,ownership.right.add-to-class,1
ubo.waive-verification,<none>,1
view.back-to,view.back-to,1
view.book,view.book,1
view.universe,cbu.show,1
view.zoom-in,view.zoom-in,1
