Fund Name,Primary ISIN,Asset Class,SFDR,Legal Structure,Share Classes
"Allianz Europe Equity Growth",LU0256839191,Equity,Article 8,SICAV,24
"Allianz US High Yield",LU0761598746,Fixed Income,Article 6,SICAV,19
"Allianz Euro Bond",LU1861127097,Fixed Income,Article 8,SICAV,13
"Allianz US Short Duration High Income Bond",LU2226247208,Fixed Income,Article 8,SICAV,42
"Allianz Dynamic Multi Asset Strategy SRI 50",LU1706852701,Multi Asset,Article 8,SICAV,27
"Allianz Emerging Markets Sovereign Bond",LU3193873232,Fixed Income,Article 8,SICAV,25
"Allianz Best Styles Global Equity SRI",LU2042551569,Equity,Article 8,SICAV,17
"Allianz Global Opportunistic Bond",LU2560092004,Fixed Income,Article 6,SICAV,30
"Allianz Income and Growth",LU2213496289,Multi Asset,Article 6,SICAV,77
"Allianz China Equity",LU0786738343,Equity,Article 8,SICAV,15
"Allianz Advanced Fixed Income Euro",LU1459823677,Fixed Income,Article 8,SICAV,16
"Allianz Global Sustainability",LU1428085879,Equity,Article 8,SICAV,34
"Allianz Global Equity Insights",LU2628710027,Equity,Article 8,SICAV,11
"Allianz Euro High Yield Bond",LU0482910154,Fixed Income,Article 8,SICAV,15
"Allianz Global Metals and Mining",LU0608206271,Equity,Article 6,SICAV,9
"Allianz Treasury Short Term Plus Euro",LU0178431259,Fixed Income,Article 8,SICAV,7
"Allianz Europe Small Cap Equity",LU0293315023,Equity,Article 8,SICAV,8
"Allianz Multi Asset Long / Short",LU1481687926,Multi Asset,Article 6,SICAV,9
"Allianz Global Equity Unconstrained",LU0342677829,Equity,Article 8,SICAV,10
"Allianz Emerging Markets Equity SRI",LU2571887368,Equity,Article 8,SICAV,11
"Allianz Euro Cash",LU0052221412,Fixed Income,Article 8,FCP,5
"Allianz All China Equity",LU1946895353,Equity,Article 8,SICAV,28
"Allianz Dynamic Multi Asset Strategy SRI 15",LU1089088071,Multi Asset,Article 8,SICAV,19
"Allianz Dynamic Multi Asset Strategy SRI 75",LU1089088311,Multi Asset,Article 8,SICAV,27
"Allianz GEM Equity High Dividend",LU2969692735,Equity,Article 6,SICAV,20
"Allianz Asia Ex China Equity",LU0348788117,Equity,Article 8,SICAV,4
"Allianz Advanced Fixed Income Short Duration",LU0856992614,Fixed Income,Article 8,SICAV,15
"Allianz European Equity Dividend",LU0414045582,Equity,Article 8,SICAV,27
"Allianz Emerging Markets Equity Opportunities",LU1992126489,Equity,Article 6,SICAV,2
"Allianz Strategy Select 75",LU1459824642,Multi Asset,Article 8,SICAV,2
"Allianz Total Return Asian Equity",LU0348814566,Equity,Article 8,SICAV,14
"Allianz Emerging Europe Equity",LU1992127883,Equity,Article 6,SICAV,2
"Allianz China A-Shares",LU1997244873,Equity,Article 8,SICAV,26
"Allianz Strategy Select 50",LU1459824568,Multi Asset,Article 8,SICAV,3
"Allianz Food Security",LU2211817197,Equity,Article 8,SICAV,9
"Allianz Global Diversified Credit",LU1480268660,Fixed Income,Article 8,SICAV,20
"Allianz German Equity",LU0840617350,Equity,Article 8,SICAV,3
"Allianz Dynamic Commodities",LU0542493225,Multi Asset,Article 6,SICAV,7
"Allianz Euroland Equity Growth",LU0256839944,Equity,Article 8,SICAV,16
"Allianz Oriental Income",LU1752425543,Equity,Article 6,SICAV,19
"Allianz Best Styles Euroland Equity",LU0178439401,Equity,Article 6,SICAV,6
"Allianz China A Opportunities",LU2305039237,Equity,Article 8,SICAV,17
"Allianz Europe Equity Growth Select",LU0908554255,Equity,Article 8,SICAV,20
"Allianz Strategy Select 30",LU1901058815,Multi Asset,Article 8,SICAV,2
"Allianz Japan Smaller Companies Equity",LU1941710565,Equity,Article 6,SICAV,3
"Allianz US Equity Fund",LU0256843979,Equity,Article 6,SICAV,12
"Allianz Emerging Markets Short Duration Bond",LU1064047639,Fixed Income,Article 6,SICAV,10
"Allianz Global Bond Fund",LU1956190000,Fixed Income,Article 8,SICAV,1
"Allianz Global High Yield",LU2879808843,Fixed Income,Article 8,SICAV,13
"Allianz Global Infrastructure ELTIF",LU2802865670,Private Markets,Article 8,S.C.A., SICAV-Part II,10
