Fund Name,ISIN,Asset Class,SFDR,Currency,Share Classes
"Allianz Europe Equity Growth",,Equity,Article 8,,9
"Allianz Best Styles US Equity",,Equity,Article 8,,1
"Allianz Global Diversified Credit",,Fixed Income,Article 8,,3
"Allianz Dynamic Asian High Yield Bond",,Fixed Income,Article 6,,3
"Allianz Income and Growth",,Multi Asset,Article 6,,20
"Allianz US Equity Fund",,Equity,Article 6,,3
"Allianz Japan Equity",,Equity,Article 8,,2
"Allianz China A-Shares",,Equity,Article 8,,11
"Allianz Strategic Bond Fund",,Fixed Income,Not applicable,,4
"Allianz China A Opportunities",,Equity,Article 8,,1
"Allianz All China Equity",,Equity,Article 8,,14
"Allianz Best Styles Global Equity",,Equity,Article 6,,1
"Allianz Global Floating Rate Notes Plus",,Fixed Income,Article 8,,5
"Allianz Oriental Income",,Equity,Article 6,,5
"Allianz UK Listed Opportunities Fund",,Equity,Not applicable,,8
"Allianz US Short Duration High Income Bond",,Fixed Income,Article 8,,9
"Allianz Best Styles Global AC Equity Fund",,Equity,Not applicable,,3
"Allianz Global Artificial Intelligence",,Equity,Article 8,,13
"Allianz RiskMaster Growth Multi Asset Fund",,Multi Asset,Not applicable,,1
"Allianz Cyber Security",,Equity,Article 8,,4
"Allianz Floating Rate Notes Plus",,Fixed Income,Article 8,,1
"Allianz Euro Credit SRI",,Fixed Income,Article 8,,1
"Allianz RiskMaster Moderate Multi Asset Fund",,Multi Asset,Not applicable,,1
"Allianz Green Bond",,Fixed Income,Article 9,,9
"Allianz RiskMaster Conservative Multi Asset Fund",,Multi Asset,Not applicable,,1
"Allianz Emerging Markets Short Duration Bond",,Fixed Income,Article 6,,1
"Allianz Total Return Asian Equity",,Equity,Article 8,,3
"Allianz Emerging Markets Select Bond",,Fixed Income,Article 6,,4
"Allianz Gilt Yield Fund",,Fixed Income,Not applicable,,2
"Allianz Europe Equity Growth Select",,Equity,Article 8,,2
"Allianz Global Water",,Equity,Article 8,,3
"Allianz UK Government Bond",,Fixed Income,Article 6,,3
"Allianz Total Return Asian Equity Fund",,Equity,Not applicable,,3
"Allianz Emerging Markets Sovereign Bond",,Fixed Income,Article 8,,1
"Allianz Strategy 15",,Multi Asset,Article 8,,8
"Allianz Strategic Bond",,Fixed Income,Article 6,,5
"Allianz Emerging Markets Equity",,Equity,Article 6,,1
"Allianz UK Listed Equity Income Fund",,Equity,Not applicable,,6
"Allianz Global Opportunistic Bond",,Fixed Income,Article 6,,3
"Allianz Treasury Short Term Plus Euro",,Fixed Income,Article 8,,1
"Allianz Emerging Markets SRI Bond",,Fixed Income,Article 8,,1
"Allianz Thematica",,Equity,Article 8,,6
"Allianz Emerging Markets Equity Fund",,Equity,Not applicable,,3
"Allianz India Equity",,Equity,Article 8,,1
"Allianz Emerging Markets Corporate Bond",,Fixed Income,Article 8,,1
"Allianz GEM Equity High Dividend",,Equity,Article 6,,3
"Allianz Thematica Fund",,Equity,Not applicable,,3
"Allianz Global Hi-Tech Growth",,Equity,Article 8,,3
"Allianz Volatility Strategy Fund",,Multi Asset,Article 6,,1
"Allianz Global Multi Sector Credit Fund",,Fixed Income,Not applicable,,2
"Allianz Global High Yield",,Fixed Income,Article 8,,2
"Allianz Global Credit",,Fixed Income,Article 8,,1
"Allianz China A-Shares Equity Fund",,Equity,Not applicable,,1
"Allianz Global Sustainability",,Equity,Article 8,,4
"Allianz Index-Linked Gilt Fund",,Fixed Income,Not applicable,,4
"Allianz Multi Asset Long / Short",,Multi Asset,Article 6,,1
"Allianz Best Styles Euroland Equity",,Equity,Article 6,,1
"Allianz US Investment Grade Credit",,Fixed Income,Article 8,,3
"Allianz Continental European Fund",,Equity,Not applicable,,5
"Allianz Technology Trust PLC",,Equity,Not applicable,,1
"Allianz Global Dividend",,Equity,Article 8,,1
"The Brunner Investment Trust PLC",,Equity,Not applicable,,1
"The Merchants Trust PLC",,Equity,Not applicable,,1
"Allianz Food Security",,Equity,Article 8,,4
"Allianz US Large Cap Value",,Equity,Article 8,,2
"Allianz Legacy Builder Fund",,Multi Asset,Not applicable,,1
"Allianz European Equity Dividend",,Equity,Article 8,,3
"Allianz Best Styles US Small Cap Equity",,Equity,Article 8,,1
"Allianz Global Small Cap Equity",,Equity,Article 6,,1
"Allianz Best Styles Global AC Equity",,Equity,Article 6,,1
